onset	duration	nwb_table	is_vis	is_ruleA	is_switch	is_cueB	is_choL	is_correct	association_mat	rule_belief	signed_bias	rule_following	bias_following	prob_actual_cho	trial_onset_plane_frame_idx	trial_offset_plane_frame_idx	epoch_type	trial_id
23.88375	9.319499999999998	epochs															maze	0.0
23.88375	6.347000000000001	epochs															maze_stem	0.0
23.933	16.335500000000003	trials	True	True	False	True	False	False	[0.24749937653541565, 0.752500593662262, 0.29219791293144226, 0.7078020572662354]	-0.04469853639602661	0.4603026807308197	0.022349268198013306	-0.23015135526657104	0.29219791293144226	[89, 89, 89, 89, 88]	[144, 144, 144, 144, 143]		
30.25125	2.951999999999998	epochs															maze_arm	0.0
33.22275	7.02525	epochs															feedback_and_iti	0.0
33.22275	0.9902500000000032	epochs															feedback_delay	0.0
34.234	1.9707499999999953	epochs															feedback	0.0
36.25125	3.9967499999999987	epochs															iti	0.0
40.2685	11.022999999999996	epochs															maze	1.0
40.2685	7.185749999999999	epochs															maze_stem	1.0
40.288	16.259	trials	True	True	False	True	True	True	[0.38431933522224426, 0.6156806349754333, 0.3755044639110565, 0.6244955062866211]	0.008814871311187744	0.24017617106437683	0.004407435655593872	0.12008807063102722	0.6244955062866211	[188, 187, 187, 187, 187]	[253, 252, 252, 252, 252]		
47.473	3.8185000000000002	epochs															maze_arm	1.0
51.30875	5.218499999999999	epochs															feedback_and_iti	1.0
51.30875	0.992999999999995	epochs															feedback_delay	1.0
52.319	1.9877499999999984	epochs															feedback	1.0
54.54475	1.9825000000000017	epochs															iti	1.0
56.547	8.573999999999998	epochs															maze	2.0
56.547	6.568250000000006	epochs															maze_stem	2.0
56.56475	15.615000000000002	trials	True	True	False	False	True	False	[0.413379430770874, 0.5866205096244812, 0.37654075026512146, 0.6234592199325562]	0.03683869540691376	0.21007977426052094	-0.018419355154037476	0.10503986477851868	0.5866205096244812	[285, 285, 285, 285, 284]	[336, 335, 335, 335, 335]		
63.13425	1.9867499999999936	epochs															maze_arm	2.0
65.14	7.019499999999994	epochs															feedback_and_iti	2.0
65.14	0.995750000000001	epochs															feedback_delay	2.0
66.155	1.977249999999998	epochs															feedback	2.0
68.18275	3.9767499999999956	epochs															iti	2.0
72.17975	10.016000000000005	epochs															maze	3.0
72.17975	8.171499999999995	epochs															maze_stem	3.0
72.19975	15.216999999999999	trials	True	True	False	False	False	True	[0.2466212660074234, 0.7533787488937378, 0.2709011137485504, 0.729098916053772]	-0.024279840290546417	0.482477642595768	-0.012139923870563507	-0.2412388101220131	0.2466212660074234	[379, 379, 378, 378, 378]	[438, 438, 438, 437, 437]		
80.36875	1.8269999999999982	epochs															maze_arm	3.0
82.21375	5.182999999999993	epochs															feedback_and_iti	3.0
82.21375	0.9855000000000018	epochs															feedback_delay	3.0
83.22075	1.9897500000000008	epochs															feedback	3.0
85.39775	1.9989999999999952	epochs															iti	3.0
87.41675	14.620000000000005	epochs															maze	4.0
87.41675	10.410250000000005	epochs															maze_stem	4.0
87.43775	19.792	trials	True	True	False	True	True	True	[0.5302132964134216, 0.46978670358657837, 0.36425113677978516, 0.6357488632202148]	0.16596215963363647	0.10553556680679321	0.08298107981681824	0.052767783403396606	0.6357488632202148	[470, 470, 470, 470, 469]	[557, 557, 557, 556, 556]		
97.846	4.190749999999994	epochs															maze_arm	4.0
102.05575	5.152999999999992	epochs															feedback_and_iti	4.0
102.05575	0.9877499999999912	epochs															feedback_delay	4.0
103.061	1.9757499999999908	epochs															feedback	4.0
105.2255	1.9832499999999982	epochs															iti	4.0
107.22975	11.881500000000003	epochs															maze	5.0
107.22975	8.720250000000007	epochs															maze_stem	5.0
107.25	17.086250000000007	trials	False	True	False	True	True	True	[0.41722387075424194, 0.5827761292457581, 0.25607922673225403, 0.7439208030700684]	0.1611446589231491	0.3266969174146652	0.08057233691215515	0.1633484661579132	0.7439208030700684	[589, 589, 589, 588, 588]	[659, 659, 659, 659, 659]		
115.9745	3.136749999999992	epochs															maze_arm	5.0
119.13225	5.1825000000000045	epochs															feedback_and_iti	5.0
119.13225	0.9992500000000035	epochs															feedback_delay	5.0
120.15275	1.9777500000000003	epochs															feedback	5.0
122.3285	1.9862499999999983	epochs															iti	5.0
124.33625	9.560749999999985	epochs															maze	6.0
124.33625	7.842500000000001	epochs															maze_stem	6.0
124.35625	14.755999999999986	trials	True	True	False	False	False	True	[0.41033855080604553, 0.5896614789962769, 0.259827584028244, 0.7401724457740784]	0.1505109667778015	0.32983389496803284	0.07525548338890076	-0.16491693258285522	0.41033855080604553	[692, 691, 691, 691, 691]	[748, 748, 748, 747, 747]		
132.19875	1.6982500000000016	epochs															maze_arm	6.0
133.9155	5.178249999999991	epochs															feedback_and_iti	6.0
133.9155	0.9964999999999975	epochs															feedback_delay	6.0
134.9335	1.975999999999999	epochs															feedback	6.0
137.09675	1.997000000000014	epochs															iti	6.0
139.11225	9.497750000000025	epochs															maze	7.0
139.11225	7.529500000000013	epochs															maze_stem	7.0
139.13275	14.681750000000022	trials	True	True	False	False	False	True	[0.5974092483520508, 0.4025907814502716, 0.3454635441303253, 0.6545364260673523]	0.2519456744194031	0.0571272075176239	0.12597285211086273	-0.02856360375881195	0.5974092483520508	[780, 780, 780, 780, 779]	[836, 836, 836, 836, 836]		
146.66225	1.9477500000000134	epochs															maze_arm	7.0
148.63025	5.16425000000001	epochs															feedback_and_iti	7.0
148.63025	0.9857500000000243	epochs															feedback_delay	7.0
149.63575	1.9795000000000016	epochs															feedback	7.0
151.80775	1.9867500000000007	epochs															iti	7.0
153.8145	12.655999999999977	epochs															maze	8.0
153.8145	8.445499999999981	epochs															maze_stem	8.0
153.83625	17.852249999999998	trials	False	True	False	True	True	True	[0.7211403846740723, 0.27885961532592773, 0.4487666189670563, 0.5512334108352661]	0.2723737806081772	-0.16990698873996735	0.1361868977546692	-0.08495348691940308	0.5512334108352661	[868, 868, 868, 868, 868]	[943, 943, 943, 943, 943]		
162.2815	4.188999999999993	epochs															maze_arm	8.0
166.49175	5.17625000000001	epochs															feedback_and_iti	8.0
166.49175	0.9855000000000018	epochs															feedback_delay	8.0
167.49775	1.9872500000000173	epochs															feedback	8.0
169.6795	1.9885000000000161	epochs															iti	8.0
171.6885	12.922499999999985	epochs															maze	9.0
171.6885	8.644000000000005	epochs															maze_stem	9.0
171.7105	18.11699999999999	trials	True	True	False	True	True	True	[0.6020213961601257, 0.39797866344451904, 0.2740115821361542, 0.7259883880615234]	0.328009769320488	0.12396703660488129	0.1640048623085022	0.06198352575302124	0.7259883880615234	[976, 975, 975, 975, 975]	[1052, 1052, 1052, 1052, 1051]		
180.35225	4.258749999999992	epochs															maze_arm	9.0
184.631	5.17625000000001	epochs															feedback_and_iti	9.0
184.631	0.9894999999999925	epochs															feedback_delay	9.0
185.64225	1.9775000000000205	epochs															feedback	9.0
187.81075	1.9964999999999975	epochs															iti	9.0
189.8275	10.623500000000007	epochs															maze	10.0
189.8275	8.67825000000002	epochs															maze_stem	10.0
189.84825	15.830749999999995	trials	True	True	False	False	False	True	[0.5582144856452942, 0.4417855143547058, 0.19936171174049377, 0.8006383180618286]	0.3588527888059616	0.24242381751537323	0.1794263869524002	-0.12121190130710602	0.5582144856452942	[1084, 1084, 1084, 1084, 1084]	[1147, 1147, 1147, 1147, 1146]		
198.5255	1.9254999999999995	epochs															maze_arm	10.0
200.47425	5.183749999999975	epochs															feedback_and_iti	10.0
200.47425	0.98599999999999	epochs															feedback_delay	10.0
201.47975	1.9865000000000066	epochs															feedback	10.0
203.657	2.0009999999999764	epochs															iti	10.0
205.679	13.20150000000001	epochs															maze	11.0
205.679	9.293499999999995	epochs															maze_stem	11.0
205.70125	18.39425	trials	True	True	False	True	True	True	[0.6610516309738159, 0.33894839882850647, 0.3037623167037964, 0.6962376832962036]	0.35728929936885834	0.03518606722354889	0.17864464223384857	0.01759304106235504	0.6962376832962036	[1179, 1179, 1179, 1179, 1179]	[1258, 1258, 1257, 1257, 1257]		
214.99125	3.889250000000004	epochs															maze_arm	11.0
218.9	5.176249999999982	epochs															feedback_and_iti	11.0
218.9	0.9997500000000059	epochs															feedback_delay	11.0
219.917	1.9664999999999964	epochs															feedback	11.0
222.07925	1.9969999999999857	epochs															iti	11.0
224.0955	18.423250000000024	epochs															maze	12.0
224.0955	14.355000000000018	epochs															maze_stem	12.0
224.1145	23.61425	trials	True	True	False	True	True	True	[0.5648871660232544, 0.4351128041744232, 0.20830246806144714, 0.7916975021362305]	0.35658469796180725	0.22681033611297607	0.17829234898090363	0.11340515315532684	0.7916975021362305	[1290, 1290, 1290, 1289, 1289]	[1399, 1399, 1399, 1399, 1399]		
238.46875	4.050000000000011	epochs															maze_arm	12.0
242.53775	5.171500000000009	epochs															feedback_and_iti	12.0
242.53775	0.991500000000002	epochs															feedback_delay	12.0
243.5485	1.9782500000000027	epochs															feedback	12.0
245.72575	1.9834999999999923	epochs															iti	12.0
247.72875	14.105000000000018	epochs															maze	13.0
247.72875	12.171249999999986	epochs															maze_stem	13.0
247.74825	19.287000000000006	trials	True	True	False	False	False	True	[0.5518650412559509, 0.4481349289417267, 0.1944989711046219, 0.8055010437965393]	0.35736609250307083	0.2536359801888466	0.17868303507566452	-0.1268179938197136	0.5518650412559509	[1432, 1431, 1431, 1431, 1431]	[1515, 1515, 1515, 1515, 1515]		
259.91875	1.9150000000000205	epochs															maze_arm	13.0
261.85375	5.161749999999984	epochs															feedback_and_iti	13.0
261.85375	0.9902500000000032	epochs															feedback_delay	13.0
262.86125	1.975500000000011	epochs															feedback	13.0
265.028	1.9874999999999545	epochs															iti	13.0
267.03525	10.254999999999995	epochs															maze	14.0
267.03525	8.225999999999999	epochs															maze_stem	14.0
267.05525	15.440499999999986	trials	True	True	False	False	False	True	[0.656082808971405, 0.34391719102859497, 0.2977909445762634, 0.7022091150283813]	0.358291894197464	0.04612627625465393	0.1791459321975708	-0.02306312322616577	0.656082808971405	[1547, 1547, 1547, 1547, 1547]	[1608, 1608, 1608, 1607, 1607]		
275.2815	2.0087500000000205	epochs															maze_arm	14.0
277.30925	5.166249999999991	epochs															feedback_and_iti	14.0
277.30925	0.9975000000000023	epochs															feedback_delay	14.0
278.326	1.9729999999999563	epochs															feedback	14.0
280.48825	1.9872500000000173	epochs															iti	14.0
282.49575	14.644749999999988	epochs															maze	15.0
282.49575	12.781000000000006	epochs															maze_stem	15.0
282.51525	19.8365	trials	True	True	False	False	False	True	[0.7394617795944214, 0.260538250207901, 0.38222596049308777, 0.6177740693092346]	0.3572358191013336	-0.12168771028518677	0.1786179095506668	0.06084387004375458	0.7394617795944214	[1640, 1640, 1640, 1640, 1639]	[1727, 1727, 1727, 1726, 1726]		
295.296	1.8444999999999823	epochs															maze_arm	15.0
297.16075	5.169249999999977	epochs															feedback_and_iti	15.0
297.16075	0.9922500000000127	epochs															feedback_delay	15.0
298.17125	1.9855000000000018	epochs															feedback	15.0
300.343	1.9869999999999663	epochs															iti	15.0
302.35175	12.545000000000016	epochs															maze	16.0
302.35175	10.881750000000011	epochs															maze_stem	16.0
302.37075	17.742250000000013	trials	False	True	False	False	False	True	[0.7757574319839478, 0.22424259781837463, 0.4091890752315521, 0.5908109545707703]	0.36656835675239563	-0.1849464774131775	0.18328417837619781	0.09247325360774994	0.7757574319839478	[1759, 1759, 1759, 1759, 1758]	[1834, 1833, 1833, 1833, 1833]		
313.25325	1.6435000000000173	epochs															maze_arm	16.0
314.91625	5.175749999999994	epochs															feedback_and_iti	16.0
314.91625	0.9847500000000196	epochs															feedback_delay	16.0
315.92025	1.9839999999999804	epochs															feedback	16.0
318.099	1.992999999999995	epochs															iti	16.0
320.113	12.736249999999984	epochs															maze	17.0
320.113	8.570499999999981	epochs															maze_stem	17.0
320.1335	17.932999999999993	trials	False	True	False	True	True	True	[0.8536492586135864, 0.14635069668293, 0.419109970331192, 0.5808900594711304]	0.4345393255352974	-0.27275923639535904	0.2172696813941002	-0.13637962192296982	0.5808900594711304	[1866, 1866, 1865, 1865, 1865]	[1941, 1941, 1941, 1941, 1940]		
328.70375	4.14549999999997	epochs															maze_arm	17.0
332.8685	5.179500000000019	epochs															feedback_and_iti	17.0
332.8685	0.9987500000000296	epochs															feedback_delay	17.0
333.88775	1.9747500000000286	epochs															feedback	17.0
336.06625	1.9817499999999768	epochs															iti	17.0
338.0665	11.004999999999995	epochs															maze	18.0
338.0665	9.156499999999994	epochs															maze_stem	18.0
338.086	16.211250000000007	trials	True	True	False	False	False	True	[0.7859392166137695, 0.21406078338623047, 0.25226131081581116, 0.7477386593818665]	0.5336778908967972	-0.03820054233074188	0.2668389528989792	0.019100263714790344	0.7859392166137695	[1973, 1973, 1973, 1973, 1973]	[2038, 2038, 2038, 2038, 2038]		
347.2425	1.8290000000000077	epochs															maze_arm	18.0
349.09125	5.185000000000002	epochs															feedback_and_iti	18.0
349.09125	0.9807500000000005	epochs															feedback_delay	18.0
350.091	1.9977499999999964	epochs															feedback	18.0
352.278	1.9982499999999845	epochs															iti	18.0
354.29725	12.45599999999996	epochs															maze	19.0
354.29725	10.421749999999975	epochs															maze_stem	19.0
354.31675	17.662499999999966	trials	True	True	False	False	False	True	[0.7921021580696106, 0.2078978568315506, 0.3417675495147705, 0.6582324504852295]	0.4503346011042595	-0.1338697001338005	0.22516730427742004	0.06693485379219055	0.7921021580696106	[2071, 2071, 2070, 2070, 2070]	[2144, 2144, 2144, 2144, 2144]		
364.738	2.0152499999999804	epochs															maze_arm	19.0
366.77075	5.187999999999988	epochs															feedback_and_iti	19.0
366.77075	0.9887499999999818	epochs															feedback_delay	19.0
367.7785	1.988999999999976	epochs															feedback	19.0
369.95825	2.000499999999988	epochs															iti	19.0
371.97925	10.798249999999996	epochs															maze	20.0
371.97925	9.148000000000025	epochs															maze_stem	20.0
