onset	duration	nwb_table	is_vis	is_ruleA	is_switch	is_cueB	is_choL	is_correct	association_mat	rule_belief	signed_bias	rule_following	bias_following	prob_actual_cho	trial_onset_plane_frame_idx	trial_offset_plane_frame_idx	epoch_type	trial_id
19.95525	8.46725	epochs															maze	0.0
19.95525	6.48	epochs															maze_stem	0.0
19.98175	15.496999999999996	trials	False	True	False	False	True	False	[0.48969609 0.51030391 0.47733921 0.52266085]	0.01235690712928772	0.032964736223220825	-0.006178468465805054	0.016482383012771606	0.5103039145469666	[80 80 79 79 79]	[130 129 129 129 129]		
26.45525	1.96725	epochs															maze_arm	0.0
28.44275	7.014999999999997	epochs															feedback_and_iti	0.0
28.44275	0.9980000000000011	epochs															feedback_delay	0.0
29.46075	1.96725	epochs															feedback	0.0
31.46525	3.992499999999996	epochs															iti	0.0
35.47875	6.700000000000003	epochs															maze	1.0
35.47875	4.536500000000004	epochs															maze_stem	1.0
35.49725	11.919249999999998	trials	True	True	False	False	False	True	[0.2309362  0.76906377 0.25858721 0.74141276]	-0.02765101194381714	0.5104765594005585	-0.01382550597190857	-0.25523829460144043	0.230936199426651	[173 173 173 172 172]	[212 212 212 212 211]		
40.03525	2.143500000000003	epochs															maze_arm	1.0
42.1975	5.198500000000003	epochs															feedback_and_iti	1.0
42.1975	0.9909999999999997	epochs															feedback_delay	1.0
43.20925	1.9797500000000028	epochs															feedback	1.0
45.40475	1.9912500000000009	epochs															iti	1.0
47.4165	8.8525	epochs															maze	2.0
47.4165	5.878999999999998	epochs															maze_stem	2.0
47.43625	14.04475	trials	True	True	False	False	False	True	[0.4861818  0.5138182  0.46777055 0.53222948]	0.018411263823509216	0.046047672629356384	0.009205624461174011	-0.023023828864097595	0.4861817955970764	[244 244 244 244 244]	[297 296 296 296 296]		
53.317	2.951999999999998	epochs															maze_arm	2.0
56.289	5.171250000000001	epochs															feedback_and_iti	2.0
56.289	0.9934999999999974	epochs															feedback_delay	2.0
57.3005	1.985999999999997	epochs															feedback	2.0
59.49575	1.964500000000001	epochs															iti	2.0
61.481	13.631250000000001	epochs															maze	3.0
61.481	11.679499999999997	epochs															maze_stem	3.0
61.4995	20.658249999999995	trials	False	True	False	True	False	False	[0.65825301 0.34174693 0.62342101 0.37657899]	0.03483203053474426	-0.2816740572452545	-0.017416000366210938	0.14083701372146606	0.6234210133552551	[329 329 328 328 328]	[410 409 409 409 409]		
73.18125	1.9309999999999974	epochs															maze_arm	3.0
75.13225	7.005250000000004	epochs															feedback_and_iti	3.0
75.13225	0.984499999999997	epochs															feedback_delay	3.0
76.1375	1.977499999999992	epochs															feedback	3.0
78.15375	3.9837500000000006	epochs															iti	3.0
82.15775	7.160000000000011	epochs															maze	4.0
82.15775	5.164750000000012	epochs															maze_stem	4.0
82.17825	12.36475	trials	False	True	False	True	True	True	[0.6348871  0.36511296 0.57870495 0.42129511]	0.056182146072387695	-0.21359199285507202	0.028091073036193848	-0.10679596662521362	0.4212951064109802	[453 453 452 452 452]	[495 495 494 494 494]		
87.343	1.9747500000000002	epochs															maze_arm	4.0
89.3385	5.183750000000003	epochs															feedback_and_iti	4.0
89.3385	0.9890000000000043	epochs															feedback_delay	4.0
90.3475	1.9909999999999997	epochs															feedback	4.0
92.53675	1.9855000000000018	epochs															iti	4.0
94.543	6.419749999999993	epochs															maze	5.0
94.543	4.527249999999995	epochs															maze_stem	5.0
94.56375	13.448499999999996	trials	False	True	False	True	False	False	[0.53844255 0.46155742 0.39638937 0.60361063]	0.14205320179462433	0.06516806781291962	-0.07102659344673157	-0.032584041357040405	0.396389365196228	[527 527 527 526 526]	[565 564 564 564 564]		
99.09225	1.8704999999999927	epochs															maze_arm	5.0
100.98325	7.008499999999998	epochs															feedback_and_iti	5.0
100.98325	0.9945000000000022	epochs															feedback_delay	5.0
101.9975	1.9697500000000048	epochs															feedback	5.0
104.00375	3.9879999999999995	epochs															iti	5.0
108.01225	6.7875000000000085	epochs															maze	6.0
108.01225	4.200250000000011	epochs															maze_stem	6.0
108.033	11.960499999999996	trials	False	True	False	False	False	True	[0.57624871 0.42375126 0.44904572 0.55095428]	0.12720300257205963	-0.025294438004493713	0.06360149383544922	0.01264721155166626	0.5762487053871155	[608 608 607 607 607]	[648 647 647 647 647]		
112.23225	2.5675000000000097	epochs															maze_arm	6.0
114.82125	5.150499999999994	epochs															feedback_and_iti	6.0
114.82125	0.9904999999999973	epochs															feedback_delay	6.0
115.83275	1.96875	epochs															feedback	6.0
117.99125	1.9805000000000064	epochs															iti	6.0
119.9935	7.728999999999999	epochs															maze	7.0
119.9935	5.960000000000008	epochs															maze_stem	7.0
120.01725	14.762500000000003	trials	False	True	False	False	True	False	[0.78844225 0.21155767 0.60947233 0.39052764]	0.17896994203329086	-0.3979146406054497	-0.08948498219251633	-0.19895734637975693	0.21155767142772675	[680 679 679 679 679]	[725 725 725 724 724]		
125.9735	1.7489999999999952	epochs															maze_arm	7.0
127.7425	7.01724999999999	epochs															feedback_and_iti	7.0
127.7425	0.9909999999999854	epochs															feedback_delay	7.0
128.753	1.9760000000000275	epochs															feedback	7.0
130.766	3.9937500000000057	epochs															iti	7.0
134.77975	5.100999999999999	epochs															maze	8.0
134.77975	3.961999999999989	epochs															maze_stem	8.0
134.79875	10.286749999999984	trials	False	True	False	False	False	True	[0.49013665 0.50986338 0.4404749  0.55952507]	0.049661725759506226	0.06938844919204712	0.024830877780914307	-0.03469422459602356	0.49013665318489075	[768 768 768 768 767]	[798 798 797 797 797]		
138.76225	1.1185000000000116	epochs															maze_arm	8.0
139.89925	5.163749999999993	epochs															feedback_and_iti	8.0
139.89925	0.98275000000001	epochs															feedback_delay	8.0
140.90075	1.990000000000009	epochs															feedback	8.0
143.0755	1.987499999999983	epochs															iti	8.0
145.0855	8.242999999999995	epochs															maze	9.0
145.0855	6.265999999999991	epochs															maze_stem	9.0
145.1045	13.419000000000011	trials	True	True	False	True	True	True	[0.69527864 0.30472136 0.63167381 0.36832622]	0.06360484659671783	-0.3269524425268173	0.031802430748939514	-0.16347621381282806	0.36832621693611145	[830 830 830 829 829]	[879 878 878 878 878]		
151.37125	1.9572499999999877	epochs															maze_arm	9.0
153.3475	5.155499999999989	epochs															feedback_and_iti	9.0
153.3475	0.9992499999999893	epochs															feedback_delay	9.0
154.366	1.977499999999992	epochs															feedback	9.0
156.52525	1.9777499999999861	epochs															iti	9.0
158.5235	8.368749999999977	epochs															maze	10.0
158.5235	5.865499999999997	epochs															maze_stem	10.0
158.54675	13.545749999999998	trials	False	True	False	True	True	True	[0.59622484 0.40377516 0.46846703 0.531533  ]	0.12775783240795135	-0.06469185650348663	0.06387892365455627	-0.03234592080116272	0.5315330028533936	[911 910 910 910 910]	[960 960 959 959 959]		
164.40925	2.483000000000004	epochs															maze_arm	10.0
166.91175	5.159249999999986	epochs															feedback_and_iti	10.0
166.91175	0.994499999999988	epochs															feedback_delay	10.0
167.92825	1.9680000000000177	epochs															feedback	10.0
170.077	1.9939999999999998	epochs															iti	10.0
172.0925	7.910249999999991	epochs															maze	11.0
172.0925	6.174000000000007	epochs															maze_stem	11.0
172.113	13.078000000000003	trials	False	True	False	True	True	True	[0.57510322 0.42489678 0.37427562 0.62572432]	0.20082756876945496	0.05062112212181091	0.10041376948356628	0.025310546159744263	0.6257243156433105	[992 992 992 991 991]	[1038 1038 1038 1038 1038]		
178.28725	1.7154999999999916	epochs															maze_arm	11.0
180.02325	5.147750000000002	epochs															feedback_and_iti	11.0
180.02325	0.984250000000003	epochs															feedback_delay	11.0
181.02975	1.9777499999999861	epochs															feedback	11.0
183.185	1.98599999999999	epochs															iti	11.0
185.191	10.712999999999994	epochs															maze	12.0
185.191	9.180499999999995	epochs															maze_stem	12.0
185.21125	15.89749999999998	trials	False	True	False	True	True	True	[0.5481866  0.45181343 0.3055056  0.69449443]	0.24268099665641785	0.1463078260421753	0.12134049832820892	0.07315392792224884	0.6944944262504578	[1070 1070 1070 1070 1070]	[1134 1134 1133 1133 1133]		
194.39325	1.5107500000000016	epochs															maze_arm	12.0
195.92475	5.163750000000022	epochs															feedback_and_iti	12.0
195.92475	0.9795000000000016	epochs															feedback_delay	12.0
196.926	1.9865000000000066	epochs															feedback	12.0
199.10175	1.9867500000000007	epochs															iti	12.0
201.10875	7.55925000000002	epochs															maze	13.0
201.10875	5.807750000000027	epochs															maze_stem	13.0
201.12925	12.737499999999983	trials	False	True	False	True	True	True	[0.52490413 0.4750959  0.25735855 0.74264145]	0.26754556596279144	0.2177373319864273	0.13377277553081512	0.10886867344379425	0.7426414489746094	[1166 1166 1166 1165 1165]	[1210 1210 1210 1210 1210]		
206.93825	1.7297499999999957	epochs															maze_arm	13.0
208.688	5.155000000000001	epochs															feedback_and_iti	13.0
208.688	0.9987500000000011	epochs															feedback_delay	13.0
209.7075	1.9624999999999773	epochs															feedback	13.0
211.85175	1.9912499999999795	epochs															iti	13.0
213.86675	9.795999999999992	epochs															maze	14.0
213.86675	8.552999999999997	epochs															maze_stem	14.0
213.88725	14.985500000000002	trials	False	True	False	True	True	True	[0.50343597 0.49656403 0.22227883 0.77772117]	0.28115713596343994	0.2742851972579956	0.14057856798171997	0.1371425986289978	0.7777211666107178	[1242 1242 1242 1242 1242]	[1300 1300 1300 1300 1299]		
222.441	1.221749999999986	epochs															maze_arm	14.0
223.6835	5.1684999999999945	epochs															feedback_and_iti	14.0
223.6835	0.9792499999999791	epochs															feedback_delay	14.0
224.6845	1.980499999999978	epochs															feedback	14.0
226.856	1.9960000000000093	epochs															iti	14.0
228.87275	11.1875	epochs															maze	15.0
228.87275	8.846249999999998	epochs															maze_stem	15.0
228.89325	16.366250000000008	trials	True	True	False	True	True	True	[0.48390871 0.51609123 0.19620045 0.80379957]	0.2877083048224449	0.3198908194899559	0.14385417103767395	0.15994539856910706	0.803799569606781	[1332 1332 1332 1332 1332]	[1399 1398 1398 1398 1398]		
237.738	2.322249999999997	epochs															maze_arm	15.0
240.07875	5.160999999999973	epochs															feedback_and_iti	15.0
240.07875	0.9884999999999877	epochs															feedback_delay	15.0
241.087	1.975750000000005	epochs															feedback	15.0
243.2445	1.9952499999999986	epochs															iti	15.0
245.2595	9.291499999999985	epochs															maze	16.0
245.2595	7.786749999999984	epochs															maze_stem	16.0
245.27925	14.461250000000007	trials	True	True	False	True	True	True	[0.48406053 0.51593947 0.20084515 0.79915482]	0.28321535885334015	0.31509430706501007	0.14160767197608948	0.15754714608192444	0.7991548180580139	[1431 1430 1430 1430 1430]	[1485 1485 1485 1485 1485]		
253.06725	1.4837499999999864	epochs															maze_arm	16.0
254.57125	5.148499999999984	epochs															feedback_and_iti	16.0
254.57125	0.9942499999999939	epochs															feedback_delay	16.0
255.58425	1.972750000000019	epochs															feedback	16.0
257.742	1.9777499999999577	epochs															iti	16.0
259.7405	7.547750000000008	epochs															maze	17.0
259.7405	6.344749999999976	epochs															maze_stem	17.0
259.761	14.60024999999996	trials	False	True	False	False	True	False	[0.48703134 0.51296866 0.20243934 0.79756063]	0.28459198772907257	0.31052930653095245	-0.1422959864139557	0.15526464581489563	0.5129686594009399	[1517 1517 1517 1517 1517]	[1562 1562 1561 1561 1561]		
266.1035	1.1847500000000082	epochs															maze_arm	17.0
267.30575	7.032750000000021	epochs															feedback_and_iti	17.0
267.30575	0.9975000000000023	epochs															feedback_delay	17.0
268.32425	1.978999999999985	epochs															feedback	17.0
270.36025	3.9782500000000027	epochs															iti	17.0
274.36125	8.180749999999989	epochs															maze	18.0
274.36125	6.677999999999997	epochs															maze_stem	18.0
274.38325	13.364000000000033	trials	False	True	False	True	True	True	[0.3558014  0.6441986  0.16020365 0.8397963 ]	0.19559773057699203	0.4839949235320091	0.09779885411262512	0.24199745059013367	0.8397963047027588	[1605 1605 1605 1604 1604]	[1653 1653 1653 1653 1652]		
281.05825	1.4837499999999864	epochs															maze_arm	18.0
282.563	5.165999999999997	epochs															feedback_and_iti	18.0
282.563	0.9895000000000209	epochs															feedback_delay	18.0
283.57375	1.986249999999984	epochs															feedback	18.0
285.74625	1.98275000000001	epochs															iti	18.0
287.74725	7.12175000000002	epochs															maze	19.0
287.74725	5.254250000000013	epochs															maze_stem	19.0
287.76675	14.159249999999986	trials	True	True	False	False	True	False	[0.34068137 0.65931857 0.17754938 0.82245058]	0.16313200443983078	0.4817691966891289	-0.08156600594520569	0.24088457226753235	0.6593185663223267	[1685 1685 1685 1685 1685]	[1727 1727 1727 1727 1726]		
293.02025	1.8487500000000523	epochs															maze_arm	19.0
294.88825	7.014499999999998	epochs															feedback_and_iti	19.0
294.88825	0.9847499999999627	epochs															feedback_delay	19.0
295.89275	1.990000000000009	epochs															feedback	19.0
297.917	3.9857500000000528	epochs															iti	19.0
301.926	10.271999999999991	epochs															maze	20.0
301.926	8.718000000000018	epochs															maze_stem	20.0
301.9495	15.461000000000013	trials	False	True	False	True	True	True	[0.21992396 0.78007609 0.12295342 0.87704653]	0.09697048738598824	0.657122615724802	0.04848521947860718	0.32856130599975586	0.877046525478363	[1770 1770 1770 1770 1770]	[1831 1831 1831 1830 1830]		
310.66325	1.534749999999974	epochs															maze_arm	20.0
312.2185	5.167500000000018	epochs															feedback_and_iti	20.0
312.2185	0.9819999999999709	epochs															feedback_delay	20.0
313.223	1.988999999999976	epochs															feedback	20.0
315.3955	1.9904999999999973	epochs															iti	20.0
317.4105	9.578249999999969	epochs															maze	21.0
317.4105	8.040750000000003	epochs															maze_stem	21.0
317.433	14.76524999999998	trials	False	True	False	True	True	True	[0.24358198 0.75641805 0.1466223  0.8533777 ]	0.0969596654176712	0.6097957342863083	0.048479825258255005	0.30489787459373474	0.8533776998519897	[1863 1863 1863 1863 1862]	[1920 1919 1919 1919 1919]		
325.4715	1.51724999999999	epochs															maze_arm	21.0
327.00875	5.170500000000004	epochs															feedback_and_iti	21.0
327.00875	0.9937499999999773	epochs															feedback_delay	21.0
328.02325	1.9837499999999864	epochs															feedback	21.0
330.19775	1.9815000000000396	epochs															iti	21.0
332.19825	6.312250000000006	epochs															maze	22.0
332.19825	5.086000000000013	epochs															maze_stem	22.0
332.2185	13.355250000000012	trials	False	True	False	False	True	False	[0.2577804  0.74221957 0.13901433 0.86098564]	0.11876606941223145	0.6032052338123322	-0.05938303470611572	0.3016026020050049	0.7422195672988892	[1952 1952 1951 1951 1951]	[1989 1989 1988 1988 1988]		
337.30225	1.208249999999964	epochs															maze_arm	22.0
338.53175	7.021749999999997	epochs															feedback_and_iti	22.0
338.53175	0.98275000000001	epochs															feedback_delay	22.0
339.535	1.9909999999999854	epochs															feedback	22.0
341.56475	3.988749999999982	epochs															iti	22.0
345.57375	9.353000000000009	epochs															maze	23.0
345.57375	7.832749999999976	epochs															maze_stem	23.0
345.59325	14.519999999999982	trials	True	True	False	True	True	True	[0.2078132  0.7921868  0.10392336 0.89607662]	0.1038898341357708	0.6882634274661541	0.05194491147994995	0.3441317081451416	0.8960766196250916	[2032 2032 2032 2031 2031]	[2087 2087 2087 2087 2086]		
353.42625	1.500500000000045	epochs															maze_arm	23.0
354.947	5.1442499999999995	epochs															feedback_and_iti	23.0
354.947	0.9889999999999759	epochs															feedback_delay	23.0
355.9535	1.9735000000000014	epochs															feedback	23.0
358.107	1.9842499999999745	epochs															iti	23.0
360.11325	9.903500000000008	epochs															maze	24.0
360.11325	8.40424999999999	epochs															maze_stem	24.0
360.13375	15.080249999999978	trials	False	True	False	True	True	True	[0.25429824 0.74570179 0.14742188 0.8525781 ]	0.10687633603811264	0.5982798859477043	0.053438156843185425	0.29913994669914246	0.8525781035423279	[2119 2119 2119 2119 2118]	[2178 2177 2177 2177 2177]		
368.53725	1.47950000000003	epochs															maze_arm	24.0
370.036	5.157249999999976	epochs															feedback_and_iti	24.0
370.036	0.9807500000000005	epochs															feedback_delay	24.0
371.03675	1.9885000000000446	epochs															feedback	24.0
373.2115	1.9817499999999768	epochs															iti	24.0
375.214	16.094249999999988	epochs															maze	25.0
375.214	14.739250000000027	epochs															maze_stem	25.0
375.23375	21.286	trials	False	True	False	True	True	True	[0.26738    0.73262    0.14062914 0.85937089]	0.1267508715391159	0.5919908732175827	0.06337544322013855	0.29599544405937195	0.8593708872795105	[2210 2210 2209 2209 2209]	[2305 2305 2305 2305 2304]		
389.9725	1.3357499999999618	epochs															maze_arm	25.0
391.32875	5.170999999999992	epochs															feedback_and_iti	25.0
391.32875	0.9877500000000055	epochs															feedback_delay	25.0
392.33725	1.9772500000000264	epochs															feedback	25.0
394.50625	1.9934999999999832	epochs															iti	25.0
396.51975	7.113499999999988	epochs															maze	26.0
396.51975	5.244250000000022	epochs															maze_stem	26.0
396.53925	12.300749999999994	trials	False	True	False	False	False	True	[0.25961149 0.74038851 0.12921023 0.87078977]	0.13040125370025635	0.6111782789230347	0.06520062685012817	-0.30558913946151733	0.25961148738861084	[2337 2337 2337 2337 2337]	[2379 2379 2379 2379 2378]		
401.78575	1.8474999999999682	epochs															maze_arm	26.0
403.65075	5.169249999999977	epochs															feedback_and_iti	26.0
403.65075	0.9907499999999914	epochs															feedback_delay	26.0
404.661	1.9805000000000064	epochs															feedback	26.0
406.82725	1.992750000000001	epochs															iti	26.0
408.84	10.015000000000043	epochs															maze	27.0
408.84	8.606750000000034	epochs															maze_stem	27.0
408.86125	15.19300000000004	trials	False	True	False	True	True	True	[0.70297116 0.29702887 0.29092279 0.70907718]	0.41204833984375	0.006106048822402954	0.2060241550207138	0.003053024411201477	0.7090771794319153	[2411 2411 2411 2411 2411]	[2470 2470 2470 2470 2470]		
417.4675	1.3875000000000455	epochs															maze_arm	27.0
418.87425	5.1614999999999895	epochs															feedback_and_iti	27.0
418.87425	0.999499999999955	epochs															feedback_delay	27.0
419.8945	1.9662500000000023	epochs															feedback	27.0
422.045	1.9907499999999914	epochs															iti	27.0
424.05425	5.850749999999948	epochs															maze	28.0
424.05425	4.079250000000002	epochs															maze_stem	28.0
424.07425	11.048000000000002	trials	True	True	False	False	False	True	[0.45823216 0.5417679  0.17732383 0.82267618]	0.2809083089232445	0.3644440397620201	0.14045416563749313	-0.18222200125455856	0.45823216438293457	[2503 2502 2502 2502 2502]	[2537 2536 2536 2536 2536]		
428.152	1.752999999999986	epochs															maze_arm	28.0
429.926	5.1754999999999995	epochs															feedback_and_iti	28.0
429.926	0.9887500000000387	epochs															feedback_delay	28.0
430.9345	1.983000000000004	epochs															feedback	28.0
433.11125	1.9902500000000032	epochs															iti	28.0
435.12225	6.73275000000001	epochs															maze	29.0
435.12225	5.360500000000002	epochs															maze_stem	29.0
435.14225	11.918000000000006	trials	False	True	False	False	False	True	[0.75139374 0.24860625 0.2342239  0.7657761 ]	0.5171698406338692	0.01438235491514206	0.2585849165916443	-0.007191181182861328	0.751393735408783	[2569 2569 2569 2568 2568]	[2608 2608 2608 2608 2608]		
440.50125	1.353749999999991	epochs															maze_arm	29.0
441.87475	5.165500000000009	epochs															feedback_and_iti	29.0
441.87475	0.9850000000000136	epochs															feedback_delay	29.0
442.881	1.982500000000016	epochs															feedback	29.0
445.04525	1.9950000000000045	epochs															iti	29.0
447.06025	6.2275000000000205	epochs															maze	30.0
447.06025	4.175000000000011	epochs															maze_stem	30.0
447.08025	13.258000000000038	trials	False	True	False	False	True	False	[0.85095888 0.14904109 0.30628979 0.69371021]	0.5446691066026688	-0.15724869072437286	-0.272334560751915	-0.07862435281276703	0.149041086435318	[2640 2640 2640 2640 2640]	[2677 2677 2676 2676 2676]		
451.2535	2.0342500000000427	epochs															maze_arm	30.0
453.3065	7.0117499999999495	epochs															feedback_and_iti	30.0
453.3065	0.9844999999999686	epochs															feedback_delay	30.0
454.31175	1.979249999999979	epochs															feedback	30.0
456.328	3.990250000000003	epochs															iti	30.0
460.33825	7.835999999999956	epochs															maze	31.0
460.33825	4.007999999999981	epochs															maze_stem	31.0
460.35975	13.012249999999995	trials	True	True	False	False	False	True	[0.47434571 0.52565426 0.19680251 0.80319744]	0.27754319459199905	0.32885173708200455	0.13877160102128983	-0.16442588716745377	0.47434571385383606	[2720 2720 2720 2719 2719]	[2766 2766 2766 2766 2765]		
464.3665	3.8077499999999986	epochs															maze_arm	31.0
468.19375	5.156999999999982	epochs															feedback_and_iti	31.0
468.19375	0.9975000000000023	epochs															feedback_delay	31.0
469.21225	1.968500000000006	epochs															feedback	31.0
