onset	duration	nwb_table	is_vis	is_ruleA	is_switch	is_cueB	is_choL	is_correct	association_mat	rule_belief	signed_bias	rule_following	bias_following	prob_actual_cho	trial_onset_plane_frame_idx	trial_offset_plane_frame_idx	epoch_type	trial_id
26.87125	9.346750000000004	epochs															maze	0.0
26.87125	7.027249999999999	epochs															maze_stem	0.0
26.927	14.528500000000001	trials	True	True	False	True	True	True	[0.4747641384601593, 0.5252358317375183, 0.506062388420105, 0.493937611579895]	-0.031298235058784485	0.019173458218574524	-0.015649110078811646	0.009586721658706665	0.493937611579895	[82, 82, 82, 82, 82]	[138, 137, 137, 137, 137]		
33.9185	2.299500000000002	epochs															maze_arm	0.0
36.23875	5.195999999999998	epochs															feedback_and_iti	0.0
36.23875	0.9924999999999997	epochs															feedback_delay	0.0
37.25	1.9769999999999968	epochs															feedback	0.0
39.4515	1.9832499999999982	epochs															iti	0.0
41.4555	9.164499999999997	epochs															maze	1.0
41.4555	6.756999999999998	epochs															maze_stem	1.0
41.47825	14.3335	trials	False	True	False	True	True	True	[0.3401595950126648, 0.6598404049873352, 0.171104297041893, 0.8288957476615906]	0.16905532032251358	0.488736130297184	0.08452767133712769	0.2443680763244629	0.8288957476615906	[170, 170, 169, 169, 169]	[224, 224, 223, 223, 223]		
48.23275	2.3872499999999945	epochs															maze_arm	1.0
50.637	5.15475	epochs															feedback_and_iti	1.0
50.637	0.9837500000000006	epochs															feedback_delay	1.0
51.63825	1.9819999999999993	epochs															feedback	1.0
53.807	1.9847499999999982	epochs															iti	1.0
55.81175	12.4285	epochs															maze	2.0
55.81175	10.492750000000001	epochs															maze_stem	2.0
55.83125	19.468000000000004	trials	False	True	False	False	True	False	[0.3145240247249603, 0.6854759454727173, 0.12532192468643188, 0.8746780753135681]	0.18920211493968964	0.5601540356874466	-0.09460106492042542	0.2800770103931427	0.6854759454727173	[256, 256, 256, 255, 255]	[330, 329, 329, 329, 329]		
66.32475	1.9155000000000086	epochs															maze_arm	2.0
68.256	7.022750000000002	epochs															feedback_and_iti	2.0
68.256	0.9987500000000011	epochs															feedback_delay	2.0
69.2725	1.9697500000000048	epochs															feedback	2.0
71.3035	3.9752500000000026	epochs															iti	2.0
75.29925	9.176000000000002	epochs															maze	3.0
75.29925	7.273250000000004	epochs															maze_stem	3.0
75.323	16.204250000000002	trials	False	True	False	False	True	False	[0.19590771198272705, 0.8040923476219177, 0.1524064540863037, 0.8475935459136963]	0.04350122809410095	0.6516858637332916	-0.021750599145889282	0.325842946767807	0.8040923476219177	[373, 373, 372, 372, 372]	[427, 427, 427, 426, 426]		
82.59375	1.8815000000000026	epochs															maze_arm	3.0
84.493	7.013249999999999	epochs															feedback_and_iti	3.0
84.493	0.9962500000000034	epochs															feedback_delay	3.0
85.50525	1.974499999999992	epochs															feedback	3.0
87.51675	3.9894999999999925	epochs															iti	3.0
91.52725	11.107500000000002	epochs															maze	4.0
91.52725	8.54225000000001	epochs															maze_stem	4.0
